stockCode,tickerSymbol,companyName,companyNameEng,market,sector
KR7003542008,003547,대신증권2우선주(신형),DAISHINSECURITIES(2PB),KOSPI,증권
KR7003550001,003550,LG보통주,LG Corp.,KOSPI,기타금융
KR7003551009,003555,LG1우선주,LG Corp.(1P),KOSPI,기타금융
KR7003560000,003560,IHQ보통주,IHQ,KOSPI,서비스업
KR7003570009,003570,SNT다이내믹스보통주,SNT DYNAMICS,KOSPI,운수장비
KR7003580008,003580,에이치엘비글로벌보통주,"HLB GLOBAL Co., Ltd.",KOSPI,광업
KR7003610003,003610,방림보통주,Pangrim,KOSPI,섬유의복
KR7003620002,003620,KG모빌리티보통주,KG Mobility,KOSPI,운수장비
KR7003650009,003650,미창석유공업보통주,MichangOilInd,KOSPI,화학
KR7003670007,003670,포스코퓨처엠보통주,POSCO FUTURE M,KOSPI,전기전자
KR7003680006,003680,한성기업보통주,HansungEnterprise,KOSPI,음식료품
KR7003690005,003690,코리안리재보험보통주,Korean Reinsurance Company,KOSPI,보험
KR7003720000,003720,삼영보통주,SAMYOUNG,KOSPI,화학
KR7003780004,003780,진양산업보통주,Chinyang Industry,KOSPI,화학
KR7003800000,003800,에이스침대,AceBed,KOSDAQ,기타제조
KR7003830007,003830,대한화섬보통주,DaehanSyntheticFibrer,KOSPI,화학
KR7003850005,003850,보령보통주,Boryung,KOSPI,의약품
KR7003920006,003920,남양유업보통주,NamyangDairyProducts,KOSPI,음식료품
KR7003921004,003925,남양유업1우선주,NamyangDairyProducts(1P),KOSPI,음식료품
KR7003960002,003960,사조대림보통주,SAJODAERIM,KOSPI,음식료품
KR7004000006,004000,롯데정밀화학보통주,LOTTE Fine Chemical,KOSPI,화학
KR7004020004,004020,현대제철 보통주,HYUNDAI STEEL,KOSPI,철강금속
KR7004060000,004060,에스지세계물산보통주,SGCORPORATION,KOSPI,유통업
KR7004080008,004080,신흥보통주,Shinhung,KOSPI,유통업
KR7004090007,004090,한국석유공업보통주,KOREA PETROLEUM INDUSTRIES,KOSPI,비금속광물
KR7004100004,004100,태양금속공업보통주,TaeyangMetalIndustrial,KOSPI,운수장비
KR7004101002,004105,태양금속공업1우선주,TaeyangMetalIndustrial(1P),KOSPI,운수장비
KR7004140000,004140,동방보통주,DongbangTransport&Logistics,KOSPI,운수창고업
KR7004150009,004150,한솔홀딩스보통주,Hansol Holdings,KOSPI,기타금융
KR7004170007,004170,신세계보통주,"Shinsegae Co.,Ltd",KOSPI,유통업
KR7004250007,004250,NPC보통주,NPC,KOSPI,화학
KR7004251005,004255,NPC1우선주,NPC(1P),KOSPI,화학
KR7004270005,004270,남성보통주,Namsung,KOSPI,유통업
KR7004310009,004310,현대약품보통주,Hyundai pharm,KOSPI,의약품
KR7004360004,004360,세방보통주,SEBANG,KOSPI,운수창고업
KR7004361002,004365,세방1우선주,SEBANG(1P),KOSPI,운수창고업
KR7004370003,004370,농심보통주,Nongshim,KOSPI,음식료품
KR7004380002,004380,삼익THK보통주,SAMICK THK,KOSPI,기계
KR7004410007,004410,서울식품공업보통주,SeoulFoodInd,KOSPI,음식료품
KR7004411005,004415,서울식품공업1우선주,SeoulFoodInd(1P),KOSPI,음식료품
KR7004430005,004430,송원산업보통주,SongwonIndustrial,KOSPI,화학
KR7004440004,004440,삼일씨엔에스보통주,SAMIL C&S,KOSPI,비금속광물
KR7004450003,004450,삼화왕관보통주,SamhwaCrown&Closure,KOSPI,기계
KR7004490009,004490,세방전지보통주,SEBANG GLOBAL BATTERY,KOSPI,전기전자
KR7004540001,004540,깨끗한나라보통주,KleanNara,KOSPI,종이목재
KR7004541009,004545,깨끗한나라1우선주,KleanNara(1P),KOSPI,종이목재
KR7004560009,004560,현대비앤지스틸보통주,HYUNDAI BNG STEEL,KOSPI,철강금속
KR7004590006,004590,한국가구,KoreaFurniture,KOSDAQ,유통
KR7004650008,004650,창해에탄올,"Changhae Ethanol Co., Ltd.",KOSDAQ,음식료·담배
KR7004690004,004690,삼천리보통주,Samchully,KOSPI,전기가스업
KR7004700001,004700,조광피혁보통주,ChokwangLeather,KOSPI,기타제조업
KR7004710000,004710,한솔테크닉스보통주,HansolTechnics,KOSPI,전기전자
KR7004720009,004720,팜젠사이언스보통주,PharmGen Science,KOSPI,의약품
KR7004770004,004770,써니전자보통주,SunnyElectronics,KOSPI,전기전자
KR7004780003,004780,대륙제관,DaeryukCan,KOSDAQ,금속
KR7004800009,004800,효성보통주,Hyosung,KOSPI,기타금융
KR7004830006,004830,덕성보통주,Duksung,KOSPI,화학
KR7004831004,004835,덕성1우선주,Duksung(1P),KOSPI,화학
KR7004840005,004840,디알비동일보통주,"DRB Holding Co.,Ltd",KOSPI,화학
KR7004870002,004870,티웨이홀딩스보통주,T'way Holdings,KOSPI,비금속광물
KR7004890000,004890,동일산업보통주,"DONGILINDUSTRIESCO.,LTD",KOSPI,철강금속
KR7004910006,004910,조광페인트보통주,ChokwangPaint,KOSPI,화학
KR7004920005,004920,씨아이테크보통주,CITECH,KOSPI,기타제조업
KR7004960001,004960,한신공영보통주,HanshinConstruction,KOSPI,건설업
KR7004970000,004970,신라교역보통주,Silla,KOSPI,"""농업, 임업 및 어업"""
KR7004980009,004980,성신양회보통주,SungshinCement,KOSPI,비금속광물
KR7004981007,004985,성신양회1우선주,SungshinCement(1P),KOSPI,비금속광물
KR7004990008,004990,롯데지주보통주,Lotte Corporation,KOSPI,기타금융
KR700499K014,00499K,롯데지주1우선주,Lotte Corporation(1P),KOSPI,기타금융
KR7005010004,005010,휴스틸보통주,HUSTEEL,KOSPI,철강금속
KR7005030002,005030,부산주공보통주,PusanCastIron,KOSPI,운수장비
KR7005070008,005070,코스모신소재보통주,CosmoAM&T,KOSPI,화학
KR7005090006,005090,SGC에너지보통주,SGC Energy,KOSPI,전기가스업
KR7005110002,005110,한창보통주,Hanchang,KOSPI,유통업
KR7005160007,005160,동국산업,DONGKUK INDUSTRIES COMPANY,KOSDAQ,금속
KR7005180005,005180,빙그레보통주,Binggrae,KOSPI,음식료품
KR7005250006,005250,녹십자홀딩스보통주,Green Cross Holdings Corporation,KOSPI,서비스업
KR7005252002,005257,녹십자홀딩스2우선주(신형),Green Cross Holdings Corporation(2PB),KOSPI,서비스업
KR7005290002,005290,동진쎄미켐,"DONGJIN SEMICHEM CO., LTD.",KOSDAQ,반도체
KR7005300009,005300,롯데칠성음료보통주,LotteChilsungBeverage,KOSPI,음식료품
KR7005301007,005305,롯데칠성음료1우선주,LotteChilsungBeverage(1P),KOSPI,음식료품
KR7005320007,005320,국동보통주,Kukdong,KOSPI,유통업
KR7005360003,005360,모나미보통주,Monami,KOSPI,유통업
KR7005380001,005380,현대자동차보통주,HyundaiMotor,KOSPI,운수장비
KR7005381009,005385,현대자동차1우선주,HyundaiMotor(1P),KOSPI,운수장비
KR7005382007,005387,현대자동차2우선주(신형),HyundaiMotor(2PB),KOSPI,운수장비
KR7005383005,005389,현대자동차3우선주(신형),HyundaiMotor(3PB),KOSPI,운수장비
KR7005390000,005390,신성통상보통주,ShinsungTongsang,KOSPI,유통업
KR7005420005,005420,코스모화학보통주,COSMOCHEMICALCO,KOSPI,화학
KR7005430004,005430,한국공항보통주,KoreaAirportService,KOSPI,운수창고업
KR7005440003,005440,현대지에프홀딩스보통주,HYUNDAI G.F. HOLDINGS,KOSPI,기타금융
KR7005490008,005490,포스코홀딩스보통주,POSCO Holdings Inc.,KOSPI,철강금속
KR7005500004,005500,삼진제약보통주,SamjinPharmaceutical,KOSPI,의약품
KR7005610001,005610,SPC삼립보통주,SPC SAMLIP,KOSPI,음식료품
KR7005670005,005670,푸드웰,FOODWELL CORPORATION,KOSDAQ,음식료·담배
KR7005680004,005680,삼영전자공업보통주,SamyoungElectronics,KOSPI,전기전자
KR7005690003,005690,파미셀보통주,Pharmicell,KOSPI,의약품
KR7005710009,005710,대원산업,Daewonsanup,KOSDAQ,운송장비·부품
KR7005720008,005720,넥센보통주,NEXEN,KOSPI,화학
KR7005721006,005725,넥센1우선주,NEXEN(1P),KOSPI,화학
KR7005740006,005740,크라운해태홀딩스보통주,CROWNHAITAI Holdings,KOSPI,기타금융
KR7005741004,005745,크라운해태홀딩스1우선주,CROWNHAITAI Holdings(1P),KOSPI,기타금융
KR7005750005,005750,대림B&Co보통주,DAELIM B&Co,KOSPI,비금속광물
KR7005800008,005800,신영와코루보통주,ShinyoungWacoal,KOSPI,섬유의복
KR7005810007,005810,풍산홀딩스보통주,POONGSAN HOLDINGS,KOSPI,기타금융
KR7005820006,005820,원림보통주,Wonlim,KOSPI,섬유의복
KR7005830005,005830,DB손해보험보통주,DB INSURANCE,KOSPI,보험
KR7005850003,005850,에스엘보통주,SLCORPORATION,KOSPI,운수장비
KR7005860002,005860,한일사료,HANIL FEED Co.Ltd,KOSDAQ,음식료·담배
KR7005870001,005870,휴니드테크놀러지스보통주,HuneedTechnologies,KOSPI,전기전자
KR7005880000,005880,대한해운보통주,KoreaLine,KOSPI,운수창고업
KR7005930003,005930,삼성전자보통주,SamsungElectronics,KOSPI,전기전자
KR7005931001,005935,삼성전자1우선주,SamsungElectronics(1P),KOSPI,전기전자
KR7005940002,005940,엔에이치투자증권보통주,NH INVESTMENT & SECURITIES,KOSPI,증권
KR7005941000,005945,엔에이치투자증권1우선주,NH INVESTMENT & SECURITIES(1P),KOSPI,증권
KR7005950001,005950,이수화학보통주,IsuChemical,KOSPI,화학
KR7005960000,005960,동부건설보통주,Dongbu Corporation,KOSPI,건설업
KR7005961008,005965,동부건설1우선주,Dongbu(1P),KOSPI,건설업
KR7005990007,005990,매일홀딩스,"MAEIL HOLDINGS CO., LTD.",KOSDAQ,음식료·담배
KR7006040000,006040,동원산업보통주,DongwonIndustries,KOSPI,기타금융
KR7006050009,006050,국영지앤엠,KUK YOUNG G&M,KOSDAQ,비금속
KR7006060008,006060,화승인더스트리보통주,HSIndustries,KOSPI,화학
KR7006090005,006090,사조오양보통주,OYANG,KOSPI,음식료품
KR7006110001,006110,삼아알미늄보통주,SamaAluminium,KOSPI,철강금속
KR7006120000,006120,에스케이디스커버리보통주,"SK Discovery Co.,Ltd.",KOSPI,기타금융
KR7006121008,006125,에스케이디스커버리1우선주,"SK Discovery Co.,Ltd.(1P)",KOSPI,기타금융
KR7006140008,006140,피제이전자,"PJ ELECTRONICS CO., LTD.",KOSDAQ,의료·정밀기기
